Server running on port 3000
Connected to the SQLite database
Database tables created successfully
Database tables created successfully
Connecting to Lightstreamer...
Lightstreamer connection status: CONNECTING
Lightstreamer connection status: CONNECTED:WS-STREAMING
Subscribed to 298 items
Received update for AIRLOCK000001: -0.02866799943149089813232421875
Received update for AIRLOCK000002: -0.0048929997719824314117431640625
Received update for AIRLOCK000003: -0.02866799943149089813232421875
Received update for AIRLOCK000004: -0.0048929997719824314117431640625
Received update for AIRLOCK000005: -0.004250000230967998504638671875
Received update for AIRLOCK000006: -0.0048929997719824314117431640625
Received update for AIRLOCK000007: -0.02866799943149089813232421875
Received update for AIRLOCK000008: 0.001210000016726553440093994140625
Received update for AIRLOCK000009: -0.02866799943149089813232421875
Received update for AIRLOCK000010: -0.0048929997719824314117431640625
Received update for AIRLOCK000011: -0.3805319964885711669921875
Received update for AIRLOCK000012: -0.4253329932689666748046875
Received update for AIRLOCK000013: -0.3805319964885711669921875
Received update for AIRLOCK000014: -0.4228909909725189208984375
Received update for AIRLOCK000015: -0.3805319964885711669921875
Received update for AIRLOCK000016: -0.4277749955654144287109375
Received update for AIRLOCK000017: 0.0296539999544620513916015625
Received update for AIRLOCK000018: -0.00042500000563450157642364501953125
Received update for AIRLOCK000019: 1
Received update for AIRLOCK000020: 1
Received update for AIRLOCK000021: 1
Received update for AIRLOCK000022: 1
Received update for AIRLOCK000023: 2
Received update for AIRLOCK000024: 0
Received update for AIRLOCK000025: 30
Received update for AIRLOCK000026: 80
Received update for AIRLOCK000027: 133
Received update for AIRLOCK000028: 79
Received update for AIRLOCK000029: 2
Received update for AIRLOCK000030: 0
Received update for AIRLOCK000031: 72
Received update for AIRLOCK000032: 72
Received update for AIRLOCK000033: 197
Received update for AIRLOCK000034: 79
Received update for AIRLOCK000035: 2
Received update for AIRLOCK000036: 2
Received update for AIRLOCK000037: 91
Received update for AIRLOCK000038: 72
Received update for AIRLOCK000039: 87
Received update for AIRLOCK000040: 72
Received update for AIRLOCK000041: 0
Received update for AIRLOCK000042: 0
Received update for AIRLOCK000043: 0
Received update for AIRLOCK000044: 0
Received update for AIRLOCK000045: 0
Received update for AIRLOCK000046: 0
Received update for AIRLOCK000047: 0
Received update for AIRLOCK000048: 0
Received update for AIRLOCK000049: 749.3818359375
Received update for AIRLOCK000050: 0
